nnumero_creane;type_creance;nature_creance;total;restant;creance_champ2;id_debiteur;numero_doss;detail_creance_champ2
X6083;2;;593180.44;593180.44;X6083;68;X6083;X6083
EA1248;2;;592645.98;592645.98;EA1248;69;EA1248;EA1248
X42499;2;;564089.94;564089.94;X42499;70;X42499;X42499
F213414;2;;561521.61;561521.61;F213414;71;F213414;F213414
M171196;2;;555682.81;555682.81;M171196;72;M171196;M171196
M31440;2;;550925.14;550925.14;M31440;73;M31440;M31440
D16612;2;;546231.22;546231.22;D16612;74;D16612;D16612
M9820;2;;533088.76;533088.76;M9820;75;M9820;M9820
T28859;2;;530008.39;530008.39;T28859;76;T28859;T28859
Q25273;2;;529175.26;529175.26;Q25273;77;Q25273;Q25273
DA14024;2;;520822.62;520822.62;DA14024;78;DA14024;DA14024
DA4618;2;;516925.53;516925.53;DA4618;79;DA4618;DA4618
ZZ68840;2;;506477.06;506477.06;ZZ68840;80;ZZ68840;ZZ68840
M6615;2;;488435.25;488435.25;M6615;81;M6615;M6615
G4920;2;;488132.17;488132.17;G4920;82;G4920;G4920
G114268;2;;483876.22;483876.22;G114268;83;G114268;G114268
J102274;2;;483048.77;483048.77;J102274;84;J102274;J102274
M21915;2;;482021.8;482021.8;M21915;85;M21915;M21915
G34029;2;;481821.25;481821.25;G34029;86;G34029;G34029
C252786;2;;478932.52;478932.52;C252786;87;C252786;C252786
ZZ22830;2;;478263.29;478263.29;ZZ22830;88;ZZ22830;ZZ22830
Z2895;2;;477668.75;477668.75;Z2895;89;Z2895;Z2895
H130446;2;;476364.67;476364.67;H130446;90;H130446;H130446
M123;2;;475140.87;475140.87;M123;91;M123;M123
D24584;2;;471934.46;471934.46;D24584;92;D24584;D24584
D188118;2;;464936.82;464936.82;D188118;93;D188118;D188118
J109557;2;;463885.35;463885.35;J109557;94;J109557;J109557
C421053-C6;2;;461741.75;461741.75;C421053-C6;95;C421053-C6;C421053-C6
M43351;2;;461636.21;461636.21;M43351;96;M43351;M43351
D465184;2;;460110.34;460110.34;D465184;97;D465184;D465184
C6347;2;;459691.23;459691.23;C6347;98;C6347;C6347
Z24588;2;;447208.96;447208.96;Z24588;99;Z24588;Z24588
