ï»¿NUMERO_DOSSIER;iddebiteur
78176;1
3378577;2
3378954;3
3379084;4
3382352;5
3387872;6
3389001;7
3390186;8
3391132;9
3394712;10
3395392;11
3399732;12
3405051;13
3412631;14
3429111;15
3430251;16
3437074;17
3441002;18
3443292;19
3449192;20
3449630;21
3453375;22
3455107;23
3474402;24
3481742;25
3486043;26
3486506;27
3487726;28
3488663;29
3492803;30
3531159;31
3542340;32
3542738;33
3546904;34
3568751;35
3580708;36
3587148;37
3593216;38
3594489;39
3596412;40
3598556;41
3609691;42
3610466;43
3615510;44
3628651;45
3634237;46
3636801;47
3638300;48
3647273;49
3654793;50
3655625;51
3659480;52
3661635;53
3662760;54
3664233;55
3665866;56
3668978;57
3673434;58
3678070;59
3679473;60
3680903;61
3681509;62
3684800;63
3685338;64
3686086;65
3689112;66
3692054;67
3694643;68
3702437;69
3712566;70
3715134;71
3715310;72
3717402;73
3722372;74
3725120;75
3727923;76
3730086;77
3734989;78
3736317;79
3740632;80
3740956;81
3742900;82
3747180;83
3750074;84
3756182;85
3756503;86
3758549;87
3759516;88
3762436;89
3763441;90
3763785;91
3770782;92
3774207;93
3780098;94
3780244;95
3780763;96
3781794;97
3781805;98
3786466;99
3788086;100
3788090;101
3796773;102
3801063;103
3804267;104
3806117;105
3808191;106
3808960;107
3811691;108
3813010;109
3818651;110
3818936;111
3820678;112
3821926;113
3825418;114
3826031;115
3828705;116
3833788;117
3838492;118
3839369;119
3842001;120
3844640;121
3847558;122
3852566;123
3855885;124
3856336;125
3858375;126
3860869;127
3862793;128
3867803;129
3875102;130
3875935;131
3891833;132
3892544;133
3894015;134
3896276;135
3898747;136
3899364;137
3903209;138
3906532;139
3907900;140
3914783;141
3914848;142
3916015;143
3916582;144
3919962;145
3921221;146
3923151;147
3924172;148
3925163;149
3927395;150
3927909;151
3928443;152
3932718;153
3934335;154
3935348;155
3935539;156
3936330;157
3938756;158
3939296;159
3939354;160
3939387;161
3939919;162
3941821;163
3943968;164
3944521;165
3949415;166
3950014;167
3953843;168
3954837;169
3956334;170
3960613;171
3962020;172
3964943;173
3966777;174
3967922;175
3974610;176
3975632;177
3975923;178
3977606;179
3979219;180
3979236;181
3981682;182
3985751;183
3991421;184
3995423;185
3999765;186
4000399;187
4002479;188
4006146;189
4007789;190
4008310;191
4018864;192
4021465;193
4021704;194
4023440;195
4029562;196
4032304;197
4038330;198
4039651;199
4048561;200
4054990;201
4055242;202
4057401;203
4059030;204
4064663;205
4065181;206
4072400;207
4072472;208
4079095;209
4083683;210
4092662;211
4094976;212
4097833;213
4105495;214
4112647;215
4116740;216
4156274;217
4159474;218
4162664;219
4164694;220
4169337;221
4184239;222
4194134;223
4195701;224
4201456;225
4207525;226
4208006;227
4213398;228
4218078;229
4218629;230
4219397;231
4224646;232
4229061;233
4240101;234
4241730;235
4250539;236
4252682;237
4254834;238
4257489;239
4258235;240
4274755;241
4281876;242
4291964;243
4302212;244
4305661;245
4307879;246
4321690;247
4327037;248
4337337;249
4340613;250
4340622;251
4343656;252
4353091;253
4359642;254
4360097;255
4384530;256
4390055;257
4390683;258
4398731;259
4406265;260
4407814;261
4412151;262
4413411;263
4413523;264
4419446;265
4433058;266
4439229;267
4440220;268
4463874;269
4466306;270
4467692;271
4467745;272
4467940;273
4474155;274
4483218;275
4491830;276
4501143;277
4504284;278
4511697;279
