NUMERO DOSSIER;type_creance;numero_de_creance;Date_echeance;total_creance;Nature_crence;iddebiteur;type_creance
11333195;142367348;F-0224-0997951;03/02/2024;99;Mobile;2865;3
13451866;143502280;F-0324-0160409;03/03/2024;99;Mobile;6885;4
10934449;100203926;F-0324-0179847;03/03/2024;199;Mobile;2517;1
12316137;146593843;F-0324-0156107;03/03/2024;249;Fixe;4055;2
11794536;113873100;F-0324-0089710;03/03/2024;249;Fixe;3359;2
12750338;137895199;F-0224-0114706;03/02/2024;49;Mobile;4707;5
12750338;137895199;F-0324-0130842;03/03/2024;49;Mobile;4707;3
13532634;144689553;F-0224-0084230;03/02/2024;49;Mobile;7662;4
13532634;144689553;F-0324-0149564;03/03/2024;49;Mobile;7662;1
13532419;144672960;F-0324-0104656;03/03/2024;49;Mobile;7659;2
13611005;145930335;F-0324-0142077;03/03/2024;199;Mobile;8554;2
12360544;134337137;F-0324-0166435;03/03/2024;249;Fixe;4126;5
12866124;134010561;F-0324-0135899;03/03/2024;249;Fixe;4965;3
13542891;144908906;F-0324-0199397;03/03/2024;49;Mobile;7800;4
13316318;141447602;F-0324-0138585;03/03/2024;249;Fixe;6119;1
11622773;110636127;F-0324-0122918;03/03/2024;240;Fixe;3157;2
13609902;145928550;F-0324-0173267;03/03/2024;249;Fixe;8540;2
13315521;141446301;F-0224-0133567;03/02/2024;44;Mobile;6117;5
13315521;141446301;F-0324-0028588;03/03/2024;49;Mobile;6117;3
12779623;135869867;F-0324-1008361;01/03/2024;199;Mobile;4779;4
12779623;135869867;F-0224-1392703;01/02/2024;309;Mobile;4779;1
10694404;97694423;F-0324-0158054;03/03/2024;49;Mobile;2322;2
13457000;143527478;F-0324-0182809;03/03/2024;49;Mobile;6924;2
13100053;137790929;F-0324-0203171;03/03/2024;249;Fixe;5511;5
11625092;131814860;F-0324-0151574;03/03/2024;249;Fixe;3159;3
12779447;138407101;F-0324-1008357;01/03/2024;103,99;Mobile;4778;4
10884801;138714047;F-0324-1050698;04/03/2024;49;Mobile;2473;1
13564387;145368434;F-0324-1013235;01/03/2024;148,99;Fixe;8042;2
10703074;97740779;F-0324-0104438;03/03/2024;240;Fixe;2333;2
11625092;135197240;F-0324-0015598;03/03/2024;249;Fixe;3159;5
11878840;115630860;F-0224-0118252;03/02/2024;249;Fixe;3447;3
11878840;115630860;F-0324-0115674;03/03/2024;249;Fixe;3447;4
5848370;102196544;F-0324-1051834;04/03/2024;119;Mobile;594;1
13128211;147518573;F-0324-1017907;01/03/2024;49;Mobile;5583;2
13128211;147518573;F-0224-1063871;01/02/2024;53,99;Mobile;5583;2
13636386;146786886;F-0324-1017944;01/03/2024;49;Mobile;8898;5
13638107;146790267;F-0324-1024943;01/03/2024;49;Mobile;8954;3
13648410;146928786;F-0324-1034537;01/03/2024;49;Mobile;9237;4
13651237;146965009;F-0324-1030723;01/03/2024;49;Mobile;9324;1
13661532;147133959;F-0224-1112665;02/02/2024;49;Mobile;9652;2
13661532;147133959;F-0324-0991692;02/03/2024;49;Mobile;9652;2
13643615;146881228;F-0324-1040397;01/03/2024;49;Mobile;9106;5
10893994;136691403;F-1023-1030825;01/10/2023;269;Mobile;2481;3
10893994;136691403;F-0923-1290584;01/09/2023;314;Mobile;2481;4
13660777;147132350;F-0324-0991690;02/03/2024;49;Mobile;9614;1
13647999;146928094;F-0224-1063811;01/02/2024;49;Mobile;9225;2
13647999;146928094;F-0324-1038371;01/03/2024;49;Mobile;9225;2
10893994;148263788;F-0324-0995592;01/03/2024;219;Mobile;2481;5
10893994;148263788;F-0224-1377173;01/02/2024;269;Mobile;2481;3
13635774;146785829;F-0224-1058551;01/02/2024;49;Mobile;8883;4
13635774;146785829;F-0324-1024345;01/03/2024;49;Mobile;8883;1
6411384;145920244;F-0324-1059545;04/03/2024;148,99;Fixe;730;2
3634237;147693919;F-0324-1061449;04/03/2024;49;Mobile;46;2
13639405;146792684;F-0224-1068482;01/02/2024;49;Mobile;8999;5
13639405;146792684;F-0324-1018454;01/03/2024;49;Mobile;8999;3
13646063;146884298;F-0324-1031566;01/03/2024;49;Mobile;9169;4
6634543;147068628;F-0324-1066715;04/03/2024;49;Mobile;768;1
5623017;147137217;F-0324-1065938;04/03/2024;99;Mobile;532;2
12564477;142587220;F-0224-0886510;04/02/2024;49;Mobile;4424;2
12564477;142587220;F-0324-1058521;04/03/2024;59;Mobile;4424;5
7764825;147257890;F-0324-1061031;04/03/2024;148,99;Fixe;987;3
13311124;141358015;F-0324-0138723;03/03/2024;249;Mobile;6097;4
12920899;134516974;F-0224-0174689;03/02/2024;249;Mobile;5099;1
12920899;134516974;F-0324-0097616;03/03/2024;249;Mobile;5099;2
