NUMERO DOSSIER;iddebiteur

3378176;1
3378577;2
3378954;3
3379084;4
3382352;5
3387872;6
3389001;7
3390186;8
3391132;9
3394712;10
3395392;11
3399732;12
3405051;13
3412631;14
3429111;15
3430251;16
3437074;17
3441002;18
3443292;19
3449192;20
3449630;21
3453375;22
3455107;23
3474402;24
3481742;25
3486043;26
3486506;27
3487726;28
3488663;29
3492803;30
3531159;31
3542340;32
3542738;33
3546904;34
3568751;35
3580708;36
3587148;37
3593216;38
3594489;39
3596412;40
3598556;41
3609691;42
3610466;43
3615510;44
3628651;45
3634237;46
3636801;47
3638300;48
3647273;49
3654793;50
3655625;51
3659480;52
3661635;53
3662760;54
3664233;55
3665866;56
3668978;57
3673434;58
3678070;59
3679473;60
3680903;61
3681509;62
3684800;63
3685338;64
3686086;65
3689112;66
3692054;67
3694643;68
3702437;69
3712566;70
3715134;71
3715310;72
3717402;73
3722372;74
3725120;75
3727923;76
3730086;77
3734989;78
3736317;79
3740632;80
3740956;81
3742900;82
3747180;83
3750074;84
3756182;85
3756503;86
3758549;87
3759516;88
3762436;89
3763441;90
3763785;91
3770782;92
3774207;93
3780098;94
3780244;95
3780763;96
3781794;97
3781805;98
3786466;99
3788086;100
3788090;101
3796773;102
3801063;103
3804267;104
3806117;105
3808191;106
3808960;107
3811691;108
3813010;109
3818651;110
3818936;111
3820678;112
3821926;113
3825418;114
3826031;115
3828705;116
3833788;117
3838492;118
3839369;119
3842001;120
3844640;121
3847558;122
3852566;123
3855885;124
3856336;125
3858375;126
3860869;127
3862793;128
3867803;129
3875102;130
3875935;131
3891833;132
3892544;133
3894015;134
3896276;135
3898747;136
3899364;137
3903209;138
3906532;139
3907900;140
3914783;141
3914848;142
3916015;143
3916582;144
3919962;145
3921221;146
3923151;147
3924172;148
3925163;149
3927395;150
3927909;151
3928443;152
3932718;153
3934335;154
3935348;155
3935539;156
3936330;157
3938756;158
3939296;159
3939354;160
3939387;161
3939919;162
3941821;163
3943968;164
3944521;165
3949415;166
3950014;167
3953843;168
3954837;169
3956334;170
3960613;171
3962020;172
3964943;173
3966777;174
3967922;175
3974610;176
3975632;177
3975923;178
3977606;179
3979219;180
3979236;181
3981682;182
3985751;183
3991421;184
3995423;185
3999765;186
4000399;187
4002479;188
4006146;189
4007789;190
4008310;191
4018864;192
4021465;193
4021704;194
4023440;195
4029562;196
4032304;197
4038330;198
4039651;199
4048561;200
4054990;201
4055242;202
4057401;203
4059030;204
4064663;205
4065181;206
4072400;207
4072472;208
4079095;209
4083683;210
4092662;211
4094976;212
4097833;213
4105495;214
4112647;215
4116740;216
4156274;217
4159474;218
4162664;219
4164694;220
4169337;221
4184239;222
4194134;223
4195701;224
4201456;225
4207525;226
4208006;227
4213398;228
4218078;229
4218629;230
4219397;231
4224646;232
4229061;233
4240101;234
4241730;235
4250539;236
4252682;237
4254834;238
4257489;239
4258235;240
4274755;241
4281876;242
4291964;243
4302212;244
4305661;245
4307879;246
4321690;247
4327037;248
4337337;249
4340613;250
4340622;251
4343656;252
4353091;253
4359642;254
4360097;255
4384530;256
4390055;257
4390683;258
4398731;259
4406265;260
4407814;261
4412151;262
4413411;263
4413523;264
4419446;265
4433058;266
4439229;267
4440220;268
4463874;269
4466306;270
4467692;271
4467745;272
4467940;273
4474155;274
4483218;275
4491830;276
4501143;277
4504284;278
4511697;279
4516149;280
4531413;281
4545844;282
4548446;283
4549889;284
4557516;285
4566962;286
4567410;287
4570125;288
4571480;289
4573727;290
4576331;291
4579042;292
4580450;293
4581070;294
4582565;295
4586746;296
4593936;297
4595273;298
4601931;299
4604617;300
4607058;301
4609507;302
4619120;303
4620183;304
4624572;305
4644366;306
4658031;307
4659547;308
4668383;309
4669375;310
4670564;311
4671319;312
4680784;313
4683492;314
4692806;315
4693340;316
4693820;317
4700104;318
4704561;319
4710420;320
4713066;321
4714909;322
4715046;323
4715144;324
4720934;325
4723576;326
4734545;327
4736939;328
4742581;329
4754845;330
4754859;331
4758662;332
4769793;333
4770989;334
4776295;335
4781464;336
4783059;337
4805800;338
4817578;339
4825292;340
4833832;341
4842778;342
4843407;343
4845142;344
4849724;345
4853007;346
4853080;347
4866118;348
4867586;349
4867620;350
4868773;351
4876647;352
4879327;353
4888746;354
4890971;355
4891273;356
4900233;357
4911101;358
4914621;359
4918555;360
4918595;361
4930298;362
4930943;363
4948661;364
4951508;365
4954032;366
4962421;367
4969767;368
4981697;369
4983378;370
4990040;371
4993744;372
4995793;373
4998212;374
5002212;375
5005141;376
5006278;377
5013509;378
5018602;379
5023316;380
5025159;381
5028466;382
5033497;383
5044493;384
5045569;385
5049364;386
5053719;387
5060465;388
5065116;389
5065921;390
5068515;391
5069292;392
5073635;393
5074208;394
5075084;395
5086934;396
5099863;397
5100124;398
5100444;399
5102870;400
5113120;401
5118181;402
5126925;403
5127513;404
5139954;405
5141675;406
5143954;407
5147129;408
5148757;409
5153923;410
5164294;411
5172028;412
5172703;413
5175936;414
5180274;415
5183015;416
5197566;417
5198518;418
5210218;419
5210710;420
5216274;421
5216740;422
5218994;423
5222448;424
5225072;425
5233070;426
5235040;427
5236901;428
5239352;429
5239420;430
5241956;431
5243446;432
5257424;433
5258106;434
5266652;435
5268404;436
5270674;437
5273960;438
5274709;439
5276000;440
5280729;441
5282695;442
5283627;443
5285630;444
5288934;445
5295154;446
5311620;447
5314127;448
5314508;449
5316104;450
5316649;451
5317346;452
5323816;453
5323843;454
5325629;455
5330399;456
5331105;457
5331807;458
5334104;459
5335589;460
5341486;461
5341794;462
5341932;463
5344364;464
5357481;465
5358066;466
5361962;467
5363561;468
5372040;469
5375935;470
5376900;471
5380394;472
5385309;473
5400263;474
5400856;475
5404769;476
5407676;477
5420781;478
5421248;479
5425416;480
5429004;481
5434416;482
5436458;483
5438963;484
5444202;485
5450492;486
5451427;487
5456876;488
5460030;489
5465240;490
5466892;491
5467890;492
5470457;493
5477021;494
5480795;495
5486730;496
5488645;497
5495314;498
5497653;499
5498418;500
5499023;501
5503271;502
5508067;503
5517723;504
5517743;505
5522061;506
5523031;507
5525368;508
5536290;509
5543640;510
5544582;511
5547616;512
5551125;513
5553374;514
5556202;515
5566765;516
5568048;517
5569242;518
5573755;519
5582189;520
5583612;521
5585283;522
5585547;523
5594784;524
5595057;525
5597076;526
5598402;527
5608367;528
5616524;529
5620039;530
5622608;531
5623017;532
5623542;533
5625141;534
5625244;535
5626799;536
5639460;537
5643626;538
5644716;539
5653510;540
5659594;541
5659677;542
5661960;543
5665160;544
5678465;545
5679262;546
5680146;547
5684309;548
5687170;549
5694093;550
5704621;551
5709851;552
5713739;553
5713833;554
5717918;555
5725770;556
5727138;557
5730320;558
5736785;559
5739757;560
5740872;561
5740990;562
5742017;563
5743753;564
5746308;565
5746319;566
5760668;567
5762631;568
5763418;569
5763885;570
5773183;571
5775329;572
5777674;573
5781186;574
5790211;575
5792383;576
5800886;577
5801597;578
5802897;579
5805667;580
5808723;581
5813586;582
5823627;583
5829798;584
5830095;585
5832963;586
5834524;587
5836372;588
5841297;589
5842752;590
5843965;591
5845734;592
5848081;593
5848370;594
5854815;595
5855641;596
5855738;597
5855840;598
5856412;599
5856734;600
5857259;601
5858031;602
5865264;603
5868911;604
5869685;605
5877020;606
5877467;607
5880861;608
5881373;609
5885878;610
5889099;611
5889267;612
5894460;613
5894674;614
5896120;615
5901867;616
5904083;617
5904394;618
5905325;619
5907635;620
5909499;621
5911200;622
5912729;623
5917843;624
5922459;625
5933450;626
5935348;627
5944422;628
5944463;629
5948095;630
5956001;631
5957342;632
5957900;633
5963779;634
5964634;635
5969495;636
5970122;637
5973504;638
5979494;639
5979851;640
5981912;641
5984363;642
5990526;643
5993582;644
5995923;645
5997498;646
5997998;647
5998257;648
5999545;649
5999949;650
6001089;651
6005032;652
6008141;653
6008252;654
6008259;655
6010026;656
6011753;657
6015592;658
6023077;659
6023427;660
6024071;661
6032002;662
6034629;663
6036852;664
6039750;665
6042135;666
6044283;667
6048172;668
6057295;669
6059955;670
6060277;671
6065590;672
6065983;673
6066123;674
6068946;675
6072098;676
6078684;677
6079390;678
6091178;679
6092556;680
6101288;681
6102736;682
6108539;683
6119305;684
6137446;685
6138986;686
6143347;687
6149216;688
