NUMERODOSSIER;iddebiteur
13501963;7313
13502104;7314
13502117;7315
13502126;7316
13502152;7317
13502234;7318
13502267;7319
13502318;7320
13502361;7321
13502447;7322
13502506;7323
13502520;7324
13502833;7325
13502879;7326
13503033;7327
13503036;7328
13503184;7329
13503277;7330
13503282;7331
13503323;7332
13503426;7333
13503556;7334
13503652;7335
13503657;7336
13503706;7337
13503810;7338
13503915;7339
13503918;7340
13503967;7341
13503974;7342
13504273;7343
13504365;7344
13504493;7345
13504523;7346
13504551;7347
13504611;7348
13504641;7349
13504810;7350
13504870;7351
13504902;7352
13504905;7353
13504931;7354
13504998;7355
13505061;7356
13505165;7357
13505237;7358
13505240;7359
13505262;7360
13505274;7361
13505281;7362
13505392;7363
13505488;7364
13505514;7365
13505613;7366
13505783;7367
13506181;7368
13506240;7369
13506386;7370
13506503;7371
13506680;7372
13506733;7373
13506782;7374
13506870;7375
13507019;7376
13507209;7377
13507223;7378
13507232;7379
13507294;7380
13507305;7381
13507416;7382
13507461;7383
13507602;7384
13507606;7385
13507650;7386
13507652;7387
13507680;7388
13507833;7389
13508028;7390
13508374;7391
13508394;7392
13508451;7393
13508609;7394
13508675;7395
13508825;7396
13508991;7397
13509060;7398
13509133;7399
13509178;7400
13509219;7401
13509228;7402
13509239;7403
13509273;7404
13509305;7405
13509342;7406
13509393;7407
13509483;7408
13509538;7409
13509544;7410
13509733;7411
13509777;7412
13509843;7413
13509864;7414
13510041;7415
13510180;7416
13510286;7417
13510372;7418
13510384;7419
13510495;7420
13510540;7421
13510582;7422
13510659;7423
13510750;7424
13510823;7425
13510857;7426
13510897;7427
13511005;7428
13511039;7429
13511119;7430
13511173;7431
13511340;7432
13511343;7433
13511371;7434
13511377;7435
13511518;7436
13511589;7437
13511617;7438
13511803;7439
13512185;7440
13512194;7441
13512435;7442
13512494;7443
13512566;7444
13512601;7445
13512619;7446
13512824;7447
13512908;7448
13513303;7449
13513347;7450
13513371;7451
13513459;7452
13513504;7453
13513611;7454
13513679;7455
13513775;7456
13513892;7457
13514082;7458
13514514;7459
13514522;7460
13514675;7461
13514835;7462
13514966;7463
13514990;7464
13515272;7465
13515276;7466
13515356;7467
13515390;7468
13515758;7469
13515788;7470
13515838;7471
13516007;7472
13516061;7473
13516062;7474
13516074;7475
13516158;7476
13516223;7477
13516241;7478
13516304;7479
13516630;7480
13516653;7481
13516913;7482
13516992;7483
13517055;7484
13517166;7485
13517192;7486
13517281;7487
13517328;7488
13517402;7489
13517421;7490
13517541;7491
13517786;7492
13517813;7493
13517820;7494
13517838;7495
13517842;7496
13517862;7497
13517891;7498
13517892;7499
13517898;7500
13517926;7501
13517974;7502
13517990;7503
13518018;7504
13518235;7505
13518282;7506
13518423;7507
13518528;7508
13518603;7509
13518628;7510
13518744;7511
13518799;7512
13518837;7513
13519056;7514
13519201;7515
13519228;7516
13519340;7517
13519375;7518
13519388;7519
13519668;7520
13519710;7521
13519754;7522
13519840;7523
13519906;7524
13520045;7525
13520051;7526
13520129;7527
13520354;7528
13520362;7529
13520462;7530
13520505;7531
13520623;7532
13520800;7533
13520896;7534
13520930;7535
13520958;7536
13520963;7537
13521022;7538
13521089;7539
13521432;7540
13521582;7541
13521600;7542
13521787;7543
13521796;7544
13521839;7545
13521860;7546
13521870;7547
13521915;7548
13522068;7549
13522087;7550
13522104;7551
13522177;7552
13522277;7553
13522321;7554
13522331;7555
13522574;7556
13522700;7557
13522715;7558
13522792;7559
13522863;7560
13522875;7561
13522979;7562
13523051;7563
13523168;7564
13523257;7565
13523263;7566
13523322;7567
13523342;7568
13523353;7569
13523597;7570
13523663;7571
13523783;7572
13523800;7573
13523802;7574
13523804;7575
13523950;7576
13524063;7577
13524622;7578
13524758;7579
13524970;7580
13525018;7581
13525108;7582
13525195;7583
13525208;7584
13525302;7585
13525319;7586
13525354;7587
13525447;7588
13525604;7589
13525623;7590
13525690;7591
13525759;7592
13525825;7593
13525842;7594
13525946;7595
13526112;7596
13526193;7597
13526256;7598
13526368;7599
13526411;7600
13526477;7601
13526537;7602
13526810;7603
13526819;7604
13526883;7605
13526978;7606
13527114;7607
13527246;7608
13527565;7609
13527660;7610
13527734;7611
13527761;7612
13527819;7613
13527841;7614
13528021;7615
13528136;7616
13528187;7617
13528190;7618
13528288;7619
13528337;7620
13528342;7621
13528370;7622
13528507;7623
13528594;7624
13528722;7625
13529067;7626
13529145;7627
13529372;7628
13529392;7629
13529591;7630
13529647;7631
13529906;7632
13529965;7633
13530055;7634
13530252;7635
13530276;7636
13530413;7637
13530436;7638
13530504;7639
13530643;7640
13530664;7641
13530728;7642
13530853;7643
13530902;7644
13530982;7645
13530984;7646
13531145;7647
13531157;7648
13531273;7649
13531500;7650
13531545;7651
13531553;7652
13531577;7653
13531701;7654
13532088;7655
13532180;7656
13532248;7657
13532374;7658
13532419;7659
13532518;7660
13532564;7661
13532634;7662
13532747;7663
13532766;7664
13532847;7665
13532880;7666
13532883;7667
13533171;7668
13533203;7669
13533280;7670
13533288;7671
13533440;7672
13533609;7673
13533732;7674
13533754;7675
13533761;7676
13533762;7677
13533938;7678
13533968;7679
13534025;7680
13534043;7681
13534089;7682
13534094;7683
13534125;7684
13534141;7685
13534173;7686
13534200;7687
13534240;7688
13534289;7689
13534571;7690
13534669;7691
13534672;7692
13534701;7693
13534786;7694
13534876;7695
13534899;7696
13534929;7697
13534943;7698
13535026;7699
13535136;7700
13535139;7701
13535157;7702
13535208;7703
13535212;7704
13535430;7705
13535478;7706
13535514;7707
13535530;7708
13535543;7709
13535661;7710
13535767;7711
13535857;7712
13535908;7713
13535923;7714
13536211;7715
13536239;7716
13536260;7717
13536372;7718
13536380;7719
13536399;7720
13536464;7721
13536506;7722
13536546;7723
13536551;7724
13536763;7725
13536785;7726
13536801;7727
13536818;7728
13536885;7729
13537072;7730
13537108;7731
13537235;7732
13537336;7733
13537348;7734
13537571;7735
13537636;7736
13537689;7737
13537708;7738
13537738;7739
13538077;7740
13538260;7741
13538281;7742
13538382;7743
13538394;7744
13538455;7745
13538510;7746
13538587;7747
13538628;7748
13538652;7749
13538686;7750
13538763;7751
13538829;7752
13538852;7753
13538926;7754
13539072;7755
13539110;7756
13539140;7757
13539153;7758
13539260;7759
13539288;7760
