NUMERODOSSIER;type_creance;numero_de_creance;Date_echeance;total_creance;Nature_crence;iddebiteur;type_creance
eance
12961352;146883378;F-0224-1037983;01/02/2024;199;Mobile;5185;1
12961352;146883378;F-0324-1044247;01/03/2024;199;Mobile;5185;2
13648002;146928096;F-0324-1038372;01/03/2024;49;Mobile;9226;2
13639530;146792905;F-0324-1018666;01/03/2024;49;Mobile;9004;5
8944895;147521013;F-0324-1063032;04/03/2024;149;Mobile;1170;3
13648286;146928610;F-0324-1022527;01/03/2024;14899;Fixe;9232;4
12145554;133760208;F-0623-0289019;01/06/2023;99;Mobile;3825;1
13647454;146927122;F-0324-1035524;01/03/2024;49;Mobile;9205;2
7065733;148026701;F-0324-1550341;04/03/2024;24799;Fixe;884;2
12145554;133760208;F-0523-0429543;01/05/2023;99;Mobile;3825;5
12353608;146760607;F-0324-1516489;02/03/2024;392;Mobile;4118;3
13678244;147434330;F-0324-1535957;03/03/2024;392;Mobile;10148;4
11151497;116285461;F-0324-1534306;03/03/2024;24041;Fixe;2705;1
6698473;134016723;F-0323-1211766;04/03/2023;532;Fixe;777;2
6698473;134130306;F-0324-1526384;04/03/2024;12021;Fixe;777;2
6698473;134130306;F-0224-0868371;04/02/2024;249;Fixe;777;5
12620499;129383498;F-0324-1535747;03/03/2024;49;Mobile;4505;3
10749715;144391159;F-0124-1457533;02/01/2024;14899;Fixe;2366;4
10749715;144391159;F-0224-1487131;02/02/2024;14899;Fixe;2366;1
10749715;144391159;F-0324-1543880;02/03/2024;34624;Fixe;2366;2
5979494;99401152;F-0324-1529444;04/03/2024;18052;Fixe;639;2
12572873;138512493;F-0224-0244699;01/02/2024;99;Mobile;4434;5
12572873;138512493;F-0324-0232945;01/03/2024;99;Mobile;4434;3
13579316;145602612;F-0324-0310188;01/03/2024;249;Mobile;8223;4
12145554;134334447;F-0324-0397440;01/03/2024;199;Mobile;3825;1
12281268;121661819;F-0324-0368178;01/03/2024;249;Fixe;3998;2
12223387;141216012;F-0923-0999957;01/09/2023;16065;Mobile;3923;2
12223387;141216012;F-1023-1046202;01/10/2023;249;Mobile;3923;5
12223387;120687491;F-0224-0381954;01/02/2024;49;Mobile;3923;3
12223387;120687491;F-0324-0334949;01/03/2024;49;Mobile;3923;4
13552645;145077162;F-0324-1340873;04/03/2024;49;Mobile;7911;1
13552645;145077162;F-0224-0836562;04/02/2024;49;Mobile;7911;2
13704822;148157414;F-0324-1335093;04/03/2024;99;Mobile;10934;2
13705875;148159861;F-0324-1342107;04/03/2024;49;Mobile;10966;5
10912208;100013087;F-0324-1251173;01/03/2024;99;Mobile;2504;3
11814463;114264710;F-0324-1301103;02/03/2024;49;Mobile;3384;4
12290709;141909332;F-0324-1300497;02/03/2024;124;Mobile;4022;1
12919163;140397153;F-0324-1301142;02/03/2024;48;Mobile;5093;2
12352044;138398146;F-0324-1308218;02/03/2024;234;Mobile;4112;2
12352044;138398146;F-0224-1125987;02/02/2024;234;Mobile;4112;5
13562933;145365780;F-0324-1258247;01/03/2024;99;Mobile;8025;3
13547342;144977317;F-0324-1329276;04/03/2024;49;Mobile;7851;4
12336612;122495626;F-0324-1270512;01/03/2024;49;Mobile;4085;1
11814349;114264467;F-0324-1517469;02/03/2024;7425;Mobile;3383;2
11814349;138510743;F-0324-1282349;02/03/2024;49;Mobile;3383;2
