NUMERO_DOSSIER;type_creance;numero_de_creance;Date_echeance;total_creance;Nature_crence;iddebiteur;type_creance
11448961;108044360;F-0324-1496849;02/03/2024;148,97;Mobile;2971;3
13413165;142959660;F-0224-1382717;01/02/2024;249;Mobile;6603;4
13413165;142959660;F-0324-1490451;01/03/2024;249;Mobile;6603;1
13573836;145445665;F-0324-1443759;01/03/2024;148,99;Fixe;8158;2
13025990;135911424;F-0324-1443546;01/03/2024;199;Fixe;5325;2
7130853;145334779;F-0324-1424186;04/03/2024;49;Mobile;891;5
7130853;145334779;F-0224-1204102;04/02/2024;49;Mobile;891;3
13403112;142854486;F-0224-0820660;04/02/2024;49;Mobile;6531;4
13403112;142854486;F-0324-1381452;04/03/2024;49;Mobile;6531;1
13703188;148081001;F-0324-1447742;04/03/2024;148,99;Fixe;10902;2
11319160;148257776;F-0324-1408135;04/03/2024;74,25;Mobile;2852;2
11319160;134512869;F-0523-1028199;04/05/2023;249;Mobile;2852;5
11319160;134512869;F-0423-0952819;04/04/2023;249;Mobile;2852;3
13620516;146429040;F-0324-1364284;04/03/2024;49;Mobile;8667;4
10984991;135525301;F-0523-0879148;03/05/2023;199;Mobile;2550;1
10984991;135525301;F-0623-0077975;03/06/2023;199;Mobile;2550;2
10984991;113794355;F-0324-0051754;03/03/2024;49;Mobile;2550;2
10984991;113794355;F-0224-0054011;03/02/2024;49;Mobile;2550;5
12673141;130089445;F-0324-0060033;03/03/2024;199;Mobile;4585;3
13603749;145917417;F-0324-0044130;03/03/2024;99;Mobile;8468;4
13313495;141442560;F-0324-0164076;03/03/2024;148,99;Fixe;6113;1
13100205;137791175;F-0324-0064930;03/03/2024;249;Mobile;5513;2
13100205;139708733;F-1023-0091123;03/10/2023;199;Mobile;5513;2
13100205;139708733;F-0923-0923323;03/09/2023;199;Mobile;5513;5
13616464;146121302;F-0324-0173598;03/03/2024;49;Mobile;8610;3
10981621;100887528;F-0224-0130905;03/02/2024;240;Mobile;2545;4
10981621;100887528;F-0324-0121637;03/03/2024;240;Mobile;2545;1
13312945;141441302;F-0224-0022026;03/02/2024;49;Mobile;6106;2
13312945;141441302;F-0324-0110584;03/03/2024;49;Mobile;6106;2
12923437;134577416;F-0324-0137040;03/03/2024;249;Mobile;5105;5
13529647;144667262;F-0324-0188957;03/03/2024;49;Mobile;7631;3
13529647;144667262;F-0224-0123216;03/02/2024;49;Mobile;7631;4
11209649;104768084;F-0324-0125515;03/03/2024;240;Fixe;2764;1
12377807;123332786;F-0324-0778367;04/03/2024;240;Fixe;4157;2
11636290;110837082;F-0324-0790040;04/03/2024;249;Fixe;3175;2
11408272;107490935;F-0324-0788914;04/03/2024;240;Mobile;2936;5
10738758;131033021;F-0324-0684338;02/03/2024;249;Fixe;2358;3
11138094;103516824;F-0324-0713651;02/03/2024;199;Mobile;2692;4
11782149;113518489;F-0324-0786053;04/03/2024;249;Fixe;3343;1
12089002;118710468;F-0324-0741224;04/03/2024;249;Fixe;3742;2
13523800;144515589;F-0224-0630677;02/02/2024;249;Mobile;7573;2
13523800;144515589;F-0324-0661626;02/03/2024;249;Mobile;7573;5
11142376;103556710;F-0324-0695171;02/03/2024;49;Mobile;2696;3
11142376;103556712;F-0324-0677750;02/03/2024;49;Mobile;2696;4
13224487;140102270;F-0324-0625580;02/03/2024;49;Mobile;5829;1
10914933;145433798;F-0224-1201003;04/02/2024;249;Mobile;2506;2
10914933;145433798;F-0324-0795181;04/03/2024;249;Mobile;2506;2
11733655;112522981;F-0324-0780620;04/03/2024;249;Fixe;3287;5
11443195;110839079;F-0324-0702766;02/03/2024;249;Fixe;2966;3
12848465;142149777;F-0324-0657614;02/03/2024;249;Fixe;4925;4
13655940;147023116;F-0324-1296139;02/03/2024;249;Mobile;9469;1
13595198;145886168;F-0324-1307038;02/03/2024;49;Mobile;8379;2
13682358;147602074;F-0224-1008317;03/02/2024;77,03;Mobile;10281;2
13682358;147602074;F-0324-1223605;03/03/2024;199;Mobile;10281;5
13073164;136957102;F-0324-1245030;01/03/2024;49;Mobile;5438;3
13145024;138831634;F-0324-1301530;02/03/2024;99;Mobile;5629;4
11127735;126661460;F-0224-1395356;01/02/2024;69;Mobile;2675;1
11127735;126661460;F-0324-1271581;01/03/2024;59;Mobile;2675;2
13546705;144976075;F-0324-1356601;04/03/2024;49;Mobile;7845;2
13546705;144976075;F-0224-0814788;04/02/2024;49;Mobile;7845;5
13546705;145925463;F-0324-1339059;04/03/2024;49;Mobile;7845;3
13546705;144976451;F-0224-0817402;04/02/2024;49;Mobile;7845;4
13546705;144976451;F-0324-1357212;04/03/2024;49;Mobile;7845;1
12297704;121936472;F-0324-1304101;02/03/2024;49;Mobile;4033;2
13596094;145887935;F-0324-1299368;02/03/2024;49;Mobile;8388;2
12684904;130453317;F-0324-1209161;03/03/2024;49;Mobile;4603;5
13466349;143824464;F-0324-1208474;03/03/2024;49;Mobile;6982;3
13343580;141945136;F-0224-0237611;01/02/2024;199;Mobile;6231;4
13343580;141945109;F-0224-0319823;01/02/2024;199;Mobile;6231;1
13343580;141945109;F-0324-1275235;01/03/2024;199;Mobile;6231;2
13343580;141945136;F-0324-1264134;01/03/2024;199;Mobile;6231;2
10685089;97580683;F-0324-1307288;02/03/2024;199;Mobile;2313;5
10837610;99349962;F-0324-1265375;01/03/2024;49;Mobile;2431;3
11084896;121415461;F-0523-0559598;02/05/2023;199;Mobile;2628;4
11084896;121415461;F-0623-1291611;02/06/2023;199;Mobile;2628;1
11084896;121415461;F-0423-0897522;02/04/2023;199;Mobile;2628;2
11084896;148252416;F-0324-1291193;02/03/2024;219;Mobile;2628;2
11084896;148252416;F-0224-1488777;02/02/2024;339;Mobile;2628;5
11703587;145919574;F-0324-1302097;02/03/2024;49;Mobile;3252;3
10717783;109910205;F-0324-1274685;01/03/2024;49;Mobile;2343;4
5568048;135025295;F-0324-1051778;04/03/2024;149;Mobile;517;1
13634443;146783493;F-0324-1019852;01/03/2024;49;Mobile;8846;2
13634443;146783493;F-0224-1093439;01/02/2024;49;Mobile;8846;2
